,product_category,product_id,product_title,vine,total_reviews,avg_star_rating,avg_helpful_votes,avg_total_votes
0,Office Products,1933622741,"Mighty Bright 40514 XtraFlex2 Book Light, Green",N,109,4.569,0.367,0.404
1,Office Products,B000BI92SW,"Oxford Portfile Portable File Box, Granite, 11"" H x 14"" W x 6-1/2"" D (41737)",N,67,4.134,2.254,2.791
2,Office Products,B0009HKEXM,GE Grounded Adapter-Spaced Six-Outlet Tap,N,41,4.024,16.78,17.634
3,Office Products,B00M7TVSG2,TaoTronics Led Desk Lamp,N,40,4.525,7.375,7.9
4,Office Products,B009QPFBDG,NEW BIG Monster Energy Drink Promo Sign Banner Poster Flag 100 x80 cm or 40''x31''inches,N,36,4.472,0.083,0.167
5,Office Products,B0006HUQSS,Westcott Forged Nickel Plated Straight Office Scissors,N,33,4.545,1.758,1.818
6,Office Products,B00HD9651O,Keurig B150 or K150 Direct Water Line Plumb Kit,N,26,4.538,0.115,0.231
7,Office Products,B004IKXPBO,"24 Textile Moving Blankets 54x72"" Excellent Professional Quality Pad",N,15,4.2,0.733,0.867
0,Home Improvement,B000CSY1JG,2 pack Linear 3089 Gate Opener or Garage Door Opener Remotes(See Tech. Details Below),N,300,4.427,0.277,0.377
1,Home Improvement,B00CME2MZS,Ivation 6 LED Automatic Motion-sensing Night Light - Battery Powered Hallway Light with a Built in Motion and Light Sensor and adjustable light timer,N,300,4.437,0.997,1.157
2,Home Improvement,B004INTGKK,Brita On Tap Filtration System,N,300,3.057,2.81,3.08
3,Home Improvement,B004BIHF50,Drive Gear for Sears Crafsman Liftmaster Chamberlain Garage Door Openers 1984-Current,N,300,4.68,0.483,0.58
4,Home Improvement,B0015C4YFO,Elongated Molded Wood Toilet Seat with Easy Clean and Change Hinges,N,300,4.313,1.54,1.723
5,Home Improvement,B0013RE69K,RoomMates RMK1136SCS Jungle Adventure Peel & Stick Wall Decals,N,299,4.712,0.264,0.311
