,product_category,product_id,product_title,vine,total_reviews,avg_star_rating,avg_helpful_votes,avg_total_votes
0,Home Improvement,B0000CFLYU,Command Designer Hooks,Y,56,4.643,0.161,0.196
1,Home Improvement,B00APB0IX8,Toyota Tsusho 4TTO18174 8.5-watt LED Light Bulb,Y,31,4.387,0.129,0.355
2,Home Improvement,B009XELXDW,"OttLite L24554 Task Plus High-Definition 24-Watt Floor Lamp, Dove Grey",Y,31,4.355,3.452,3.839
3,Home Improvement,B00CIQW1YC,KRUD KUTTER CR01/2 Carpet Cleaner/Stain Remover,Y,31,4.484,0.71,0.935
4,Home Improvement,B00APL6Q0W,"Chamberlain WD832KEV Garage Door Opener, ½ HP, Ultra-Quiet Belt Drive Operation, MyQ Smartphone Control Enabled (Internet Gateway Sold Separately), Includes 2-3 Button Remotes, Keyless Entry Keypad, Multi-Function Wall Control Panel",Y,31,4.71,0.129,0.419
5,Home Improvement,B009UYH7HQ,"Home Design, Candlestick Base Side Table Lamp, Bronze - End Table Lamp - Living Room Lamp - Bedroom Lamp - Table Lamps - Table Lamp for bedroom",Y,30,4.4,4.233,4.733
6,Home Improvement,B006UHWI5C,Schlage FE51V ACC 505 CAM 605 Camelot Style Keyed Entry Accent Lever with Built-in Alarm,Y,30,4.1,0.333,0.567
7,Home Improvement,B000HHI6MA,"Command Poster Hanging Strips, 12 Strips, White, 17024",Y,30,4.1,1.633,2.4
8,Home Improvement,B00004Z498,tape,Y,30,4.8,0.933,1.033
9,Home Improvement,B00F0MY5HM,"SABRE Personal Self-Defense Safety Alarm on Key Ring with LOUD Dual Alarm Siren Heard up to 600 ft/185 meters Away. To Use, Pull Metal Chain from Base",Y,30,4.2,0.7,1.467
10,Home Improvement,B00347A8GC,"Scotch Permanent Mounting Tape, 1 Inch x 125 Inches",Y,30,4.633,1.133,1.433
11,Home Improvement,B009T8V5KI,"Traditional Iron Scrollwork Lamp, Bronze",Y,30,4.333,3.7,4.5
12,Home Improvement,B00LH0SEY6,"Dorman Hardware 4-9845 Peggable Wire Basket Set, 3-Pack",Y,30,4.467,2.633,2.767
13,Home Improvement,B00HUZCY5W,"Ecospiral LED TP120-10/BR30/DIM 10 watt (65 watt equivalent) 685 lumens Dimmable LED Floodlight, warm white",Y,30,4.567,0.5,0.5
14,Home Improvement,B0055OMAWC,"Energizer ENLPLFPA2 Design Automatic Nightlight, 2-Pack",Y,30,4.3,0.467,1.367
